Season,Horario,Sitio,B_µg/m3,T_µg/m3,E_µg/m3,X_ µg/m3,B_mg/m3,T_mg/m3,E_mg/m3,X_mg/m3,E_adult_mg/kg,E_niños_mg/kg,LTCR_Adult,LTCR_Niños,HQ_B,HQ_T,HQ_E,HQ_X,Temp_c,Presión_HPA,Vel_Km/h,Dir_degree,Humedad_%
Rainy,B1,CUA,3.345421242,3.175045411,3.550131258,3.48220583,0.003345421,0.003175045,0.003550131,0.003482206,0.001025243,0.001940344,3.06E-05,5.78E-05,0.111514041,0.000635009,0.003550131,0.034822058,27,1009,10,180,86
Rainy,B2,CUA,3.512110643,3.343962648,3.577655153,3.508085372,0.003512111,0.003343963,0.003577655,0.003508085,0.001076327,0.002037024,3.21E-05,6.07E-05,0.117070355,0.000668793,0.003577655,0.035080854,28.33333333,1009.666667,9.15,45,76.1
Rainy,B3,CUA,3.154465779,2.965867657,3.553612923,3.433460484,0.003154466,0.002965868,0.003553613,0.00343346,0.000966722,0.00182959,2.88E-05,5.45E-05,0.105148859,0.000593174,0.003553613,0.034334605,29.66666667,1007.666667,14,360,71
Rainy,B1,CUA,3.284294312,3.009613684,3.555541729,3.47407415,0.003284294,0.003009614,0.003555542,0.003474074,0.00100651,0.001904891,3.00E-05,5.68E-05,0.109476477,0.000601923,0.003555542,0.034740741,26,1009,9,135,89
Rainy,B2,CUA,3.311784455,3.21658287,3.558023582,3.476172049,0.003311784,0.003216583,0.003558024,0.003476172,0.001014935,0.001920835,3.02E-05,5.72E-05,0.110392815,0.000643317,0.003558024,0.03476172,28.33333333,1009.333333,8.5,77.18,77
Rainy,B3,CUA,3.269736609,2.933443962,3.576731911,3.487670361,0.003269737,0.002933444,0.003576732,0.00348767,0.001002049,0.001896447,2.99E-05,5.65E-05,0.10899122,0.000586689,0.003576732,0.034876704,30,1007.666667,16.75,360,71.66666667
Rainy,B1,CUA,3.244579121,3.1975367,3.568652719,3.471920829,0.003244579,0.003197537,0.003568653,0.003471921,0.000994339,0.001881856,2.96E-05,5.61E-05,0.108152637,0.000639507,0.003568653,0.034719208,28,1009,13,135,83
Rainy,B2,CUA,3.360604836,3.118658187,3.569394655,3.497680783,0.003360605,0.003118658,0.003569395,0.003497681,0.001029896,0.001949151,3.07E-05,5.81E-05,0.112020161,0.000623732,0.003569395,0.034976808,29.66666667,1010,10.05,90,65
Rainy,B3,CUA,3.348403791,3.144348614,3.577275565,3.504747822,0.003348404,0.003144349,0.003577276,0.003504748,0.001026157,0.001942074,3.06E-05,5.79E-05,0.11161346,0.00062887,0.003577276,0.035047478,30,1008,16,360,73
Rainy,B1,CUA,4.707597635,4.313510441,3.648168314,3.825668107,0.004707598,0.00431351,0.003648168,0.003825668,0.001442698,0.002730407,4.30E-05,8.14E-05,0.156919921,0.000862702,0.003648168,0.038256681,26,1009,8.3,145.84,92
Rainy,B2,CUA,3.645860929,3.430887067,3.628862784,3.6995018,0.003645861,0.003430887,0.003628863,0.003699502,0.001117316,0.002114599,3.33E-05,6.30E-05,0.121528698,0.000686177,0.003628863,0.036995018,29,1009,11,315,75
Rainy,B3,CUA,3.466162859,3.205074176,3.617268766,3.636643931,0.003466163,0.003205074,0.003617269,0.003636644,0.001062246,0.002010374,3.17E-05,5.99E-05,0.115538762,0.000641015,0.003617269,0.036366439,30.33333333,1006,13.15,360,75
Rainy,B1,CUA,3.904234382,3.395760194,3.55622629,3.481396401,0.003904234,0.00339576,0.003556226,0.003481396,0.001196498,0.002264456,3.57E-05,6.75E-05,0.130141146,0.000679152,0.003556226,0.034813964,27,1007.666667,19,270,86.66666667
